intent_probability,intent_level,action,message,cost_eur,top_reasons,true_label,true_numeric
0.932,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.158)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.440)"", ""'OperatingSystems_4' decreased the purchase chance (SHAP = -0.281)""]",BROWSER,0
0.0045,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_May' decreased the purchase chance (SHAP = -2.649)"", ""'PageValues' decreased the purchase chance (SHAP = -2.071)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.355)""]",BROWSER,0
0.0354,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'ExitRates' decreased the purchase chance (SHAP = -1.885)"", ""'PageValues' decreased the purchase chance (SHAP = -1.631)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.380)""]",BROWSER,0
0.0059,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.586)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.957)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.260)""]",BROWSER,0
0.8225,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.928)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.323)"", ""'ProductRelated_Duration' increased the purchase chance (SHAP = +0.290)""]",BROWSER,0
0.0084,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.341)"", ""'Month_Mar' decreased the purchase chance (SHAP = -2.043)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.426)""]",BROWSER,0
0.6775,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.642)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.582)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.419)""]",BUYER,1
0.8282,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +3.218)"", ""'Month_May' decreased the purchase chance (SHAP = -0.938)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.338)""]",BROWSER,0
0.2043,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.816)"", ""'Month_May' increased the purchase chance (SHAP = +0.302)"", ""'ExitRates' increased the purchase chance (SHAP = +0.230)""]",BROWSER,0
0.0076,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_May' decreased the purchase chance (SHAP = -2.775)"", ""'PageValues' decreased the purchase chance (SHAP = -2.675)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.336)""]",BROWSER,0
0.9566,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.314)"", ""'Administrative' increased the purchase chance (SHAP = +0.271)"", ""'Administrative_Duration' increased the purchase chance (SHAP = +0.267)""]",BUYER,1
0.2374,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.613)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.505)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.427)""]",BROWSER,0
0.0756,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.190)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.455)"", ""'Month_Oct' decreased the purchase chance (SHAP = -0.310)""]",BROWSER,0
0.0047,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.641)"", ""'Month_May' decreased the purchase chance (SHAP = -2.359)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.269)""]",BROWSER,0
0.0602,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.810)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.724)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.422)""]",BROWSER,0
0.0333,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.137)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.486)"", ""'Region_4' decreased the purchase chance (SHAP = -0.242)""]",BUYER,1
0.8551,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.128)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.405)"", ""'ProductRelated_Duration' increased the purchase chance (SHAP = +0.224)""]",BROWSER,0
0.9699,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.211)"", ""'Administrative_Duration' increased the purchase chance (SHAP = +0.384)"", ""'VisitorType_Returning_Visitor' increased the purchase chance (SHAP = +0.264)""]",BUYER,1
0.3453,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.425)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.615)"", ""'ProductRelated_Duration' decreased the purchase chance (SHAP = -0.267)""]",BROWSER,0
0.2647,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.917)"", ""'Month_May' increased the purchase chance (SHAP = +0.238)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.235)""]",BROWSER,0
0.0054,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.599)"", ""'Month_May' decreased the purchase chance (SHAP = -2.491)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.241)""]",BROWSER,0
0.0386,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.488)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.357)"", ""'Region_4' decreased the purchase chance (SHAP = -0.247)""]",BROWSER,0
0.0436,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.012)"", ""'OperatingSystems_4' decreased the purchase chance (SHAP = -0.649)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.458)""]",BROWSER,0
0.2015,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.400)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.893)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.761)""]",BROWSER,0
0.0045,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.412)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.952)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.549)""]",BROWSER,0
0.0021,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.580)"", ""'Month_May' decreased the purchase chance (SHAP = -1.926)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.182)""]",BROWSER,0
0.0453,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.808)"", ""'Month_Dec' decreased the purchase chance (SHAP = -0.290)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.287)""]",BROWSER,0
0.1948,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.541)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.355)"", ""'Month_May' increased the purchase chance (SHAP = +0.260)""]",BROWSER,0
0.0015,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.522)"", ""'Month_May' decreased the purchase chance (SHAP = -1.898)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.186)""]",BROWSER,0
0.0192,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.907)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.696)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.437)""]",BROWSER,0
0.7274,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' decreased the purchase chance (SHAP = -1.242)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.780)"", ""'ProductRelated_Duration' increased the purchase chance (SHAP = +0.560)""]",BROWSER,0
